Unique ID,Type of the Furniture,Name,Description,Material,Color,Warranty Period (in years),Price (in US dollars),Dimensions in cm (LxWxH),Country of Creation,Features,Quantity
raoKkm,Bed,Lush Bed,A modern wood bed without storage.,Wood,Walnut Brown,5,385,165x136x70,Italy,"king, without storage",82
TdTcyv,Wardrobe,Smart Wardrobe,An elegant metal wardrobe 2.,Metal,Beige,10,568,148x143x151,Italy,"2 sections, with mirror",48
EAs8yp,Chair,Zippy Chair,A modern plastic chair without armrests.,Plastic,Silver,2,137,243x42x61,Germany,without armrests,72
HGj0Rf,Sofa,Cozy Sofa,A luxurious glass sofa with recliner.,Glass,Walnut Brown,3,190,112x33x167,Germany,"3 seats, without recliner",74
x1F21F,Sofa,Snug Sofa,A sturdy plastic sofa with recliner.,Plastic,Jet Black,2,36,297x46x87,China,"3 seats, with recliner",97
M0jT2x,Sofa,Comfy Sofa,A compact plastic sofa without recliner.,Plastic,Natural Oak,2,33,271x86x156,Italy,"3 seats, with recliner",94
4992Il,Sofa,Relax Sofa,An ergonomic metal sofa 2.,Metal,Walnut Brown,10,434,186x52x145,Germany,"3 seats, without recliner",98
x1kTcd,Bed,Lush Bed,A modern wood bed without storage.,Wood,Jet Black,5,419,287x106x78,China,"king, with storage",31
1HHtaQ,Sofa,Snug Sofa,A luxurious glass sofa without recliner.,Glass,Charcoal Gray,3,549,300x140x81,China,"3 seats, without recliner",92
0zBB1P,Wardrobe,Smart Wardrobe,A comfortable plastic wardrobe 1.,Plastic,Beige,2,172,121x42x85,Sweden,"1 sections, with mirror",7
p0EO2t,Chair,Snug Chair,A compact plastic chair with armrests.,Plastic,Beige,2,155,144x41x169,Poland,with armrests,100
tTc4qM,Bed,Relax Bed,A modern plastic bed king.,Plastic,Jet Black,2,136,187x93x50,Sweden,"queen, without storage",20
Ff0FSm,Bed,Dreamy Bed,An ergonomic plastic bed single.,Plastic,Natural Oak,2,98,69x94x50,Germany,"double, with storage",36
4pJIPi,Wardrobe,Zippy Wardrobe,A comfortable metal wardrobe 1.,Metal,Beige,10,221,283x121x77,USA,"2 sections, with mirror",7
dXVHjp,Chair,Buddy Chair,An ergonomic wood chair without armrests.,Wood,Natural Oak,5,409,156x93x161,Germany,without armrests,80
DEVhu0,Bed,Snug Bed,A compact metal bed double.,Metal,Walnut Brown,10,392,118x107x86,China,"queen, with storage",88
LXDHnu,Sofa,Comfy Sofa,A sturdy fabric sofa 2.,Fabric,Charcoal Gray,1,183,142x93x99,USA,"2 seats, with recliner",26
835uKd,Bed,Relax Bed,A compact wood bed queen.,Wood,Ivory White,5,162,80x103x50,China,"double, without storage",73
yHxNOQ,Sofa,Cozy Sofa,A luxurious glass sofa with recliner.,Glass,Jet Black,3,261,68x98x103,Germany,"2 seats, without recliner",13
HpFCyo,Sofa,Relax Sofa,A sturdy wood sofa with recliner.,Wood,Charcoal Gray,5,58,185x75x79,Germany,"1 seats, without recliner",39
1mGbrK,Sofa,Lush Sofa,A sturdy glass sofa with recliner.,Glass,Silver,3,826,61x47x47,Sweden,"2 seats, with recliner",21
PAjWhs,Chair,Zippy Chair,A modern glass chair without armrests.,Glass,Natural Oak,3,572,178x124x139,Poland,with armrests,47
GqNL4m,Chair,Cosy Chair,An ergonomic fabric chair with armrests.,Fabric,Walnut Brown,1,175,233x77x80,USA,with armrests,63
ogzgvh,Wardrobe,Smart Wardrobe,An elegant metal wardrobe 2.,Metal,Jet Black,10,165,125x89x116,Poland,"1 sections, with mirror",32
UqeGzY,Wardrobe,Chic Wardrobe,A luxurious plastic wardrobe 1.,Plastic,Jet Black,2,122,252x126x189,Germany,"2 sections, with mirror",17
CWXyvf,Bed,Dreamy Bed,A comfortable glass bed without storage.,Glass,Walnut Brown,3,533,99x95x72,Italy,"king, with storage",31
jbfrYy,Wardrobe,Sturdy Wardrobe,A sturdy glass wardrobe without mirror.,Glass,Ivory White,3,300,272x36x193,USA,"1 sections, with mirror",25
3731Hj,Chair,Chic Chair,A sturdy wood chair with armrests.,Wood,Jet Black,5,222,106x121x133,Italy,with armrests,37
WYyqps,Bed,Dreamy Bed,An ergonomic plastic bed single.,Plastic,Natural Oak,2,180,144x81x190,Italy,"queen, without storage",7
DAKKjW,Sofa,Cozy Sofa,A comfortable fabric sofa without recliner.,Fabric,Natural Oak,1,139,150x62x199,Poland,"3 seats, without recliner",24
zxnvkB,Sofa,Comfy Sofa,A sturdy glass sofa 1.,Glass,Walnut Brown,3,389,98x110x188,Sweden,"1 seats, without recliner",78
vo9cR3,Bed,Lush Bed,An ergonomic glass bed king.,Glass,Natural Oak,3,506,216x49x176,China,"single, without storage",38
r3ru8x,Bed,Cozy Bed,A compact plastic bed queen.,Plastic,Jet Black,2,108,226x30x162,Italy,"double, with storage",25
fop7fI,Table,Elegant Table,An elegant fabric table rectangular.,Fabric,Jet Black,1,336,153x135x77,Poland,"circular, not extendable",31
tzrNA4,Table,Elegant Table,A comfortable metal table circular.,Metal,Charcoal Gray,10,504,114x150x81,Sweden,"rectangular, extendable",98
VRUIFs,Chair,Chic Chair,A luxurious metal chair with armrests.,Metal,Silver,10,525,273x134x184,Germany,with armrests,57
gtOBl1,Chair,Chic Chair,A comfortable glass chair without armrests.,Glass,Silver,3,530,260x96x186,Poland,with armrests,2
Us084V,Bed,Relax Bed,A modern plastic bed king.,Plastic,Beige,2,118,92x141x59,Poland,"king, with storage",62
0Dp2KD,Chair,Chic Chair,An ergonomic fabric chair without armrests.,Fabric,Silver,1,248,256x76x189,Sweden,with armrests,37
aX6OqZ,Sofa,Lush Sofa,A compact plastic sofa without recliner.,Plastic,Jet Black,2,87,224x131x99,Germany,"3 seats, with recliner",83
wh9Qkz,Sofa,Comfy Sofa,A sturdy glass sofa 1.,Glass,Natural Oak,3,259,225x103x74,Italy,"2 seats, without recliner",8
hLLSmi,Bed,Cozy Bed,A compact plastic bed queen.,Plastic,Natural Oak,2,57,206x111x186,Italy,"single, without storage",83
vpZFCV,Chair,Cosy Chair,A sturdy glass chair with armrests.,Glass,Beige,3,354,128x56x82,Poland,with armrests,37
buDttJ,Table,Buddy Table,A comfortable fabric table not extendable.,Fabric,Natural Oak,1,324,82x76x58,Poland,"rectangular, extendable",35
vh5bw2,Wardrobe,Compact Wardrobe,A luxurious metal wardrobe 1.,Metal,Natural Oak,10,514,279x102x143,Sweden,"2 sections, with mirror",71
mqdrCq,Bed,Lush Bed,A modern wood bed without storage.,Wood,Beige,5,84,216x105x85,Poland,"double, with storage",21
RkbCqF,Wardrobe,Smart Wardrobe,A comfortable plastic wardrobe 1.,Plastic,Silver,2,44,88x139x51,Poland,"1 sections, without mirror",32
5QhnWJ,Wardrobe,Chic Wardrobe,A compact metal wardrobe without mirror.,Metal,Silver,10,321,97x144x103,USA,"2 sections, without mirror",14
6BHNqO,Bed,Cozy Bed,A compact metal bed without storage.,Metal,Charcoal Gray,10,305,130x111x40,Sweden,"king, with storage",32
u0wlzH,Wardrobe,Smart Wardrobe,An ergonomic fabric wardrobe without mirror.,Fabric,Silver,1,431,291x63x50,Germany,"2 sections, with mirror",49
Hwj2g2,Sofa,Snug Sofa,A sturdy plastic sofa with recliner.,Plastic,Silver,2,133,149x51x48,China,"3 seats, without recliner",33
RSoIQz,Wardrobe,Smart Wardrobe,A luxurious wood wardrobe 1.,Wood,Jet Black,5,450,110x118x77,Poland,"1 sections, without mirror",35
rl26d1,Table,Buddy Table,An ergonomic wood table not extendable.,Wood,Natural Oak,5,193,249x67x80,China,"rectangular, extendable",88
cSI1sd,Sofa,Comfy Sofa,A sturdy fabric sofa 2.,Fabric,Silver,1,83,185x125x109,Germany,"3 seats, with recliner",27
zMJ3Q7,Sofa,Lush Sofa,A comfortable wood sofa 3.,Wood,Silver,5,308,150x66x166,Poland,"2 seats, with recliner",15
E1RJDO,Bed,Dreamy Bed,An elegant wood bed king.,Wood,Charcoal Gray,5,490,142x88x105,Poland,"single, without storage",30
VUMFU2,Bed,Dreamy Bed,An ergonomic plastic bed single.,Plastic,Charcoal Gray,2,143,269x34x57,Italy,"queen, with storage",82
7s28Iu,Table,Cosy Table,An ergonomic wood table circular.,Wood,Ivory White,5,392,154x69x190,Poland,"circular, not extendable",35
HPkTQi,Sofa,Comfy Sofa,A sturdy fabric sofa 2.,Fabric,Silver,1,231,141x35x152,China,"3 seats, without recliner",39
gcJucz,Wardrobe,Chic Wardrobe,An elegant wood wardrobe without mirror.,Wood,Silver,5,546,239x88x50,China,"2 sections, without mirror",74
18f22E,Wardrobe,Smart Wardrobe,An elegant metal wardrobe 2.,Metal,Silver,10,224,192x43x61,China,"1 sections, without mirror",65
2jEYot,Chair,Zippy Chair,A modern glass chair without armrests.,Glass,Silver,3,584,106x97x93,China,with armrests,38
swcYW3,Sofa,Lush Sofa,A sturdy glass sofa with recliner.,Glass,Walnut Brown,3,437,256x108x136,Germany,"3 seats, with recliner",96
J9opVP,Sofa,Cozy Sofa,A comfortable fabric sofa without recliner.,Fabric,Ivory White,1,243,139x78x51,Italy,"1 seats, with recliner",97
JSfYNM,Bed,Lush Bed,An ergonomic metal bed double.,Metal,Silver,10,587,258x95x71,Germany,"single, without storage",33
1Yiixh,Wardrobe,Compact Wardrobe,A luxurious metal wardrobe 1.,Metal,Beige,10,261,178x129x198,Sweden,"2 sections, with mirror",50
3mqDpi,Chair,Zippy Chair,A comfortable metal chair without armrests.,Metal,Ivory White,10,594,299x48x134,Poland,without armrests,35
RddkMm,Chair,Cosy Chair,An elegant metal chair with armrests.,Metal,Beige,10,181,212x90x168,Poland,without armrests,2
XHY1Zr,Chair,Zippy Chair,A comfortable fabric chair without armrests.,Fabric,Jet Black,1,169,262x38x144,Italy,without armrests,64
6lqfWI,Sofa,Cozy Sofa,A luxurious metal sofa with recliner.,Metal,Silver,10,552,132x104x100,USA,"2 seats, without recliner",61
1PcMKO,Wardrobe,Compact Wardrobe,A comfortable wood wardrobe without mirror.,Wood,Silver,5,410,55x89x89,Italy,"1 sections, with mirror",56
TwNXKF,Table,Cosy Table,A sturdy glass table extendable.,Glass,Ivory White,3,811,218x133x66,USA,"rectangular, not extendable",94
UGuYu9,Table,Elegant Table,A comfortable metal table circular.,Metal,Beige,10,568,216x33x127,Sweden,"rectangular, not extendable",86
3wZ1c5,Chair,Zippy Chair,A comfortable fabric chair without armrests.,Fabric,Charcoal Gray,1,158,127x43x66,Italy,without armrests,80
wc0IhO,Table,Elegant Table,A comfortable metal table circular.,Metal,Jet Black,10,200,136x149x46,Germany,"circular, extendable",22
gwiTyP,Bed,Relax Bed,A compact wood bed queen.,Wood,Jet Black,5,298,191x114x109,Germany,"single, without storage",49
04yMNh,Bed,Cozy Bed,A luxurious wood bed double.,Wood,Beige,5,69,225x120x166,Sweden,"queen, with storage",59
Wi3TcH,Bed,Cozy Bed,A compact metal bed without storage.,Metal,Jet Black,10,427,202x80x124,China,"double, with storage",62
5j6E7y,Sofa,Cozy Sofa,A sturdy wood sofa 1.,Wood,Silver,5,78,146x68x162,Poland,"3 seats, without recliner",70
ToHl22,Table,Elegant Table,A modern wood table not extendable.,Wood,Natural Oak,5,337,193x64x118,Germany,"circular, not extendable",20
llhXLo,Chair,Zippy Chair,A modern glass chair without armrests.,Glass,Ivory White,3,419,260x62x183,Italy,without armrests,65
vUp5il,Wardrobe,Smart Wardrobe,A luxurious glass wardrobe 1.,Glass,Silver,3,546,109x148x71,Poland,"1 sections, without mirror",6
AYQg3t,Table,Sturdy Table,A compact wood table rectangular.,Wood,Beige,5,186,208x51x62,Sweden,"rectangular, not extendable",89
q1FGIo,Table,Sturdy Table,A sturdy glass table extendable.,Glass,Charcoal Gray,3,513,251x130x171,USA,"rectangular, not extendable",5
mGqHsu,Chair,Buddy Chair,A modern fabric chair with armrests.,Fabric,Walnut Brown,1,85,287x111x62,Italy,with armrests,89
qm4SHJ,Bed,Lush Bed,An ergonomic glass bed king.,Glass,Beige,3,189,162x37x162,Italy,"double, with storage",13
qyWFVz,Table,Chic Table,A sturdy metal table extendable.,Metal,Walnut Brown,10,541,167x122x68,China,"circular, extendable",24
bQ2Y9P,Sofa,Snug Sofa,A luxurious glass sofa without recliner.,Glass,Jet Black,3,568,54x105x105,China,"2 seats, with recliner",21
aNxVYB,Wardrobe,Sturdy Wardrobe,A sturdy fabric wardrobe with mirror.,Fabric,Natural Oak,1,177,279x66x137,Sweden,"1 sections, without mirror",34
sZzZEx,Chair,Zippy Chair,A comfortable fabric chair without armrests.,Fabric,Natural Oak,1,193,208x86x137,Sweden,without armrests,58
qnYRpc,Sofa,Cozy Sofa,A comfortable fabric sofa without recliner.,Fabric,Charcoal Gray,1,195,214x90x153,China,"2 seats, without recliner",16
ofHPzh,Sofa,Comfy Sofa,A sturdy metal sofa without recliner.,Metal,Ivory White,10,580,266x99x110,Poland,"2 seats, without recliner",88
wQHhrM,Bed,Cozy Bed,A comfortable fabric bed single.,Fabric,Walnut Brown,1,374,153x106x57,Sweden,"double, without storage",10
jNtgj6,Sofa,Snug Sofa,A compact fabric sofa with recliner.,Fabric,Walnut Brown,1,261,272x45x61,Germany,"3 seats, with recliner",82
aakLkp,Wardrobe,Zippy Wardrobe,An elegant wood wardrobe with mirror.,Wood,Natural Oak,5,142,269x133x189,China,"1 sections, with mirror",19
6XWsaT,Bed,Cozy Bed,A compact plastic bed queen.,Plastic,Charcoal Gray,2,26,224x130x116,Poland,"double, without storage",18
IuN5VL,Table,Elegant Table,An elegant fabric table rectangular.,Fabric,Walnut Brown,1,292,105x49x69,USA,"circular, extendable",81
zc2OcA,Table,Chic Table,A compact fabric table extendable.,Fabric,Silver,1,53,126x68x154,Germany,"rectangular, extendable",82
zohWez,Wardrobe,Smart Wardrobe,A luxurious wood wardrobe 1.,Wood,Silver,5,442,180x110x52,Italy,"1 sections, with mirror",63
08YgAu,Table,Cosy Table,An ergonomic metal table rectangular.,Metal,Charcoal Gray,10,109,61x109x167,Germany,"circular, not extendable",92
Ck6l67,Table,Buddy Table,An elegant plastic table extendable.,Plastic,Charcoal Gray,2,184,155x86x116,China,"circular, extendable",90
0L0BFk,Table,Buddy Table,An elegant metal table rectangular.,Metal,Charcoal Gray,10,201,121x83x59,Italy,"circular, not extendable",74
6QtESg,Wardrobe,Smart Wardrobe,An ergonomic fabric wardrobe without mirror.,Fabric,Charcoal Gray,1,333,228x57x99,Italy,"2 sections, with mirror",83
IXJbPK,Sofa,Relax Sofa,A compact fabric sofa with recliner.,Fabric,Ivory White,1,133,248x140x94,Poland,"2 seats, with recliner",58
2a3N5X,Bed,Lush Bed,An ergonomic glass bed king.,Glass,Ivory White,3,366,137x132x69,USA,"king, with storage",70
Lq8Lxz,Chair,Cosy Chair,An elegant wood chair without armrests.,Wood,Natural Oak,5,142,179x125x155,USA,with armrests,76
nQkghi,Sofa,Cozy Sofa,A luxurious metal sofa with recliner.,Metal,Ivory White,10,628,298x30x82,USA,"3 seats, without recliner",75
kvetmp,Table,Cosy Table,A comfortable plastic table rectangular.,Plastic,Ivory White,2,157,201x102x180,Sweden,"circular, not extendable",41
g1amDE,Sofa,Comfy Sofa,A sturdy metal sofa without recliner.,Metal,Ivory White,10,462,295x70x164,USA,"2 seats, without recliner",77
5z6lql,Bed,Relax Bed,A compact wood bed queen.,Wood,Walnut Brown,5,328,110x81x96,Italy,"king, without storage",46
klTWxs,Wardrobe,Sturdy Wardrobe,An ergonomic plastic wardrobe without mirror.,Plastic,Natural Oak,2,116,159x43x86,Sweden,"2 sections, with mirror",95
fGY42y,Bed,Lush Bed,A modern wood bed without storage.,Wood,Charcoal Gray,5,172,285x129x103,USA,"double, without storage",52
af32JO,Table,Elegant Table,A modern plastic table extendable.,Plastic,Jet Black,2,121,269x45x52,USA,"rectangular, extendable",75
E7VqcX,Table,Elegant Table,An ergonomic glass table extendable.,Glass,Charcoal Gray,3,419,101x53x130,Italy,"circular, extendable",5
H9sVuf,Chair,Zippy Chair,A comfortable metal chair without armrests.,Metal,Silver,10,427,63x98x144,Germany,without armrests,48
w7ZfVq,Sofa,Comfy Sofa,An ergonomic wood sofa 3.,Wood,Beige,5,332,232x48x157,Sweden,"2 seats, without recliner",100
c26rh8,Table,Buddy Table,An elegant metal table rectangular.,Metal,Walnut Brown,10,764,82x103x115,China,"rectangular, not extendable",100
1DIiWX,Wardrobe,Sturdy Wardrobe,An ergonomic wood wardrobe without mirror.,Wood,Silver,5,463,79x77x153,Italy,"1 sections, with mirror",31
jqE64W,Wardrobe,Chic Wardrobe,An elegant wood wardrobe without mirror.,Wood,Ivory White,5,290,159x54x181,Poland,"2 sections, with mirror",93
t6MOCf,Chair,Cosy Chair,A modern plastic chair with armrests.,Plastic,Charcoal Gray,2,142,75x54x109,Poland,with armrests,39
Q3IO7t,Table,Buddy Table,An ergonomic wood table not extendable.,Wood,Charcoal Gray,5,384,110x62x183,USA,"rectangular, not extendable",14
E0LX1B,Wardrobe,Compact Wardrobe,A comfortable wood wardrobe without mirror.,Wood,Walnut Brown,5,44,125x86x191,Poland,"1 sections, with mirror",63
LgYLej,Wardrobe,Compact Wardrobe,A luxurious metal wardrobe 1.,Metal,Jet Black,10,332,175x140x40,Sweden,"1 sections, without mirror",96
lz7UgM,Table,Chic Table,A compact fabric table extendable.,Fabric,Ivory White,1,463,262x79x112,USA,"rectangular, not extendable",41
L1ymHk,Sofa,Lush Sofa,A comfortable wood sofa 3.,Wood,Charcoal Gray,5,86,255x119x178,Italy,"2 seats, with recliner",51
8AZw25,Chair,Zippy Chair,A comfortable metal chair without armrests.,Metal,Natural Oak,10,240,252x55x86,Germany,without armrests,7
91CNQb,Table,Chic Table,A compact fabric table extendable.,Fabric,Beige,1,224,234x148x164,Germany,"rectangular, not extendable",50
XDpNbr,Bed,Snug Bed,A sturdy fabric bed double.,Fabric,Silver,1,365,128x85x101,Poland,"double, with storage",10
YPVc4m,Chair,Chic Chair,An ergonomic fabric chair without armrests.,Fabric,Ivory White,1,279,173x105x147,USA,without armrests,41
jCZL2y,Wardrobe,Sturdy Wardrobe,A sturdy fabric wardrobe with mirror.,Fabric,Natural Oak,1,342,157x69x42,Germany,"2 sections, without mirror",71
GmW8EJ,Table,Cosy Table,An ergonomic metal table rectangular.,Metal,Jet Black,10,340,135x113x157,Poland,"rectangular, not extendable",2
r3QpJt,Chair,Zippy Chair,A comfortable metal chair without armrests.,Metal,Natural Oak,10,360,250x150x169,China,with armrests,19
W8AfiC,Sofa,Cozy Sofa,A sturdy plastic sofa with recliner.,Plastic,Jet Black,2,165,133x76x163,Italy,"2 seats, without recliner",80
DgVPdj,Sofa,Cozy Sofa,A luxurious glass sofa with recliner.,Glass,Beige,3,664,104x89x163,Germany,"2 seats, with recliner",12
5R4I2o,Wardrobe,Sturdy Wardrobe,A sturdy fabric wardrobe with mirror.,Fabric,Ivory White,1,153,55x76x139,Poland,"1 sections, with mirror",73
rxptJm,Sofa,Comfy Sofa,A sturdy fabric sofa 2.,Fabric,Beige,1,301,124x145x100,Sweden,"2 seats, without recliner",22
JWVSEa,Sofa,Comfy Sofa,A sturdy metal sofa without recliner.,Metal,Charcoal Gray,10,578,214x112x150,Germany,"2 seats, without recliner",84
XOSoLM,Wardrobe,Zippy Wardrobe,An elegant wood wardrobe with mirror.,Wood,Charcoal Gray,5,186,126x101x137,Poland,"1 sections, without mirror",83
QQVEa4,Wardrobe,Zippy Wardrobe,A luxurious glass wardrobe 1.,Glass,Charcoal Gray,3,780,286x70x123,Poland,"2 sections, with mirror",37
xExeVd,Bed,Relax Bed,A modern plastic bed king.,Plastic,Walnut Brown,2,46,293x143x155,Poland,"double, without storage",5
KUDCXi,Chair,Buddy Chair,A comfortable plastic chair without armrests.,Plastic,Walnut Brown,2,48,111x136x148,USA,with armrests,18
NhYb5G,Wardrobe,Compact Wardrobe,A comfortable wood wardrobe without mirror.,Wood,Silver,5,322,283x48x189,Sweden,"2 sections, with mirror",91
4dKKut,Sofa,Snug Sofa,A modern wood sofa without recliner.,Wood,Silver,5,576,64x101x121,China,"1 seats, without recliner",75
veQnO6,Bed,Snug Bed,An elegant glass bed double.,Glass,Beige,3,314,156x74x107,China,"king, without storage",93
1haVFl,Sofa,Lush Sofa,A compact plastic sofa without recliner.,Plastic,Natural Oak,2,47,132x87x74,Italy,"1 seats, with recliner",89
s4jGJT,Chair,Cosy Chair,A sturdy glass chair with armrests.,Glass,Natural Oak,3,270,54x129x44,Sweden,without armrests,17
IcbykP,Bed,Dreamy Bed,A luxurious metal bed with storage.,Metal,Silver,10,639,243x126x121,USA,"queen, without storage",72
t3lQvs,Chair,Cosy Chair,An ergonomic fabric chair with armrests.,Fabric,Beige,1,236,103x139x89,Poland,without armrests,44
a6ufpG,Sofa,Cozy Sofa,A comfortable fabric sofa without recliner.,Fabric,Natural Oak,1,239,246x95x76,USA,"1 seats, with recliner",83
zoRSxy,Wardrobe,Chic Wardrobe,A modern fabric wardrobe 2.,Fabric,Walnut Brown,1,86,63x92x57,USA,"2 sections, with mirror",65
Cs99mT,Sofa,Snug Sofa,A compact fabric sofa with recliner.,Fabric,Silver,1,121,71x116x144,Germany,"2 seats, without recliner",46
u0BHbx,Table,Cosy Table,A comfortable plastic table rectangular.,Plastic,Beige,2,177,292x125x177,Sweden,"circular, not extendable",45
